327300.043969744,3923908.2412105505,1
2.558,1.413,0.575,0.334,0.795,0.765,0.835,0.702,0.469,0.363,0.337,0.226,0.083,0.03,0.094,0.105,0.282,0.385,0.373,0.146,0.247,0.408,1.251
1.319,0.746,0.16,0.158,0.554,0.869,0.896,0.743,0.61,0.588,0.638,0.65,0.77,0.887,0.949,1.013,1.218,1.323,1.532,1.595,1.938,2.145,2.063
1.067,3.661,3.316,3.256,3.448,3.159,2.817,2.63,2.46,2.349,2.445,2.33,2.935,3.219,3.525,4.045,4.85,5.659,6.427,7.486,8.227,8.802,5.989
5.22,4.69,4.214,5.293,5.443,5.307,5.045,5.76,5.851,5.785,6.484,6.599,7.008,7.127,7.542,8.13,8.855,8.958,9.261,9.826,8.202,8.638,8.635
5.975,3.764,2.623,3.816,4.622,6.227,7.364,7.842,8.136,8.164,8.565,8.783,8.435,8.377,8.37,8.174,7.628,6.956,6.026,5.599,2.942,3.076,5.557
6.575,3.931,2.361,3.154,4.197,5.553,6.102,5.921,6.138,6.241,5.849,5.846,5.603,5.573,5.403,5.023,4.38,4.073,3.102,2.965,2.777,2.458,4.372
6.778,3.723,1.858,2.811,3.848,3.908,3.077,2.997,2.752,2.963,2.804,2.827,2.745,2.732,2.731,2.641,2.386,2.199,1.851,2.01,2.426,2.07,3.661
6.964,3.906,1.833,2.721,3.642,3.596,2.613,2.057,1.537,1.562,1.633,1.656,1.602,1.588,1.56,1.461,1.272,1.416,1.385,1.8,2.201,1.581,2.838
6.941,3.94,1.775,2.657,3.572,3.392,2.563,2.146,1.402,1.312,1.398,1.356,1.309,1.272,1.182,1.103,1.034,1.237,1.168,1.481,2.074,1.366,2.075
7.124,4.155,2.171,2.905,3.849,3.766,2.801,2.051,1.505,1.404,1.382,1.252,1.118,1.073,0.969,0.947,0.854,1.11,1.004,1.131,1.448,1.137,2.167
9.781,3.53,1.882,2.655,3.832,3.691,2.531,1.918,1.448,1.241,1.21,1.02,0.937,0.851,0.762,0.669,0.622,0.862,0.804,0.967,0.913,1.069,2.314
0.0,0.0,1.377,2.625,3.961,3.648,2.336,1.687,1.154,0.976,0.948,0.83,0.667,0.554,0.521,0.443,0.477,0.726,0.782,1.181,1.097,0.966,2.09
